symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,score
PFE,STOCK,0.592654,0.614283,3.6495,SELL,0,-0.1353,-0.0369,-0.0224,1.1444,1.1217,1.9851,-0.9637,0.2439,2.75,3.7499,0.7334,60.0003,-0.0001,-0.0001,0.6428,1.9851,-0.9637,-1
PFE,STOCK,0.719429,0.704219,-2.1142,BUY,0,0.1593,-0.9876,-3.1093,0.4566,-2.6669,1.9397,3.7281,-0.6303,4.646,9.2919,0.5,36.3639,0.003,0.003,0.1025,1.9397,3.7281,3
PFE,STOCK,1.629998,1.538572,-5.609,BUY,0,0.244,-0.4977,-6.2043,-3.5815,-9.5636,-2.947,-2.3715,-7.8358,6.4777,6.4777,1.0,35.1852,0.0026,0.0026,-0.988,-2.947,-2.3715,0
PFE,STOCK,3.443604,3.633739,5.5214,SELL,0,-0.4749,-0.5172,2.3338,3.4604,5.875,5.388,2.7311,5.6209,5.388,5.3942,0.9988,64.9352,-0.0046,-0.0046,1.0195,5.388,2.7311,0
PFE,STOCK,11.340551,10.754429,-5.1684,BUY,0,0.0938,-1.3908,-1.9133,-2.9984,-4.8543,-1.9934,0.2005,-7.5524,5.6719,8.474,0.6693,33.0059,0.0185,0.0185,-0.5522,-1.9934,0.2005,1
PFE,STOCK,10.273627,10.706955,4.2179,BUY,1,0.3899,-0.394,0.8136,-0.3042,0.507,1.2018,1.9198,-1.2935,3.1082,4.6744,0.6649,38.8513,0.0068,0.0068,-0.1296,1.2018,1.9198,3
PFE,STOCK,8.678703,7.880158,-9.2012,BUY,0,0.0386,-0.1063,-1.1891,-1.1607,-2.336,-1.4941,-0.9515,0.274,2.275,2.5633,0.8875,34.0261,0.0098,0.0098,-0.8149,-1.4941,-0.9515,1
PFE,STOCK,18.45191,17.984407,-2.5336,SELL,1,-0.4463,0.7855,4.0211,2.2925,6.4058,1.011,0.9473,5.0263,4.3039,5.857,0.7348,61.3258,-0.0508,-0.0508,0.602,1.011,0.9473,-1
PFE,STOCK,23.372673,23.520645,0.6331,SELL,0,-0.0455,0.7784,1.4772,0.1033,1.582,-1.6513,-0.6834,1.3389,2.933,4.7887,0.6125,61.4243,-0.034,-0.034,0.0398,-1.6513,-0.6834,-3
PFE,STOCK,23.412985,23.767023,1.5121,BUY,1,0.357,-1.002,-0.1354,0.4189,0.2829,1.9121,3.7359,-1.2904,3.9324,6.6168,0.5943,37.9372,0.0454,0.0454,0.0933,1.9121,3.7359,3
PFE,STOCK,26.920095,23.47929,-12.7815,SELL,1,-0.1314,0.1929,6.6789,1.4955,8.2742,1.4616,3.0499,1.1555,2.4691,3.3009,0.748,61.2132,-0.0904,-0.0904,0.712,1.4616,3.0499,-1
PFE,STOCK,23.208456,24.175119,4.1651,BUY,1,0.2946,0.2031,-1.3764,-1.6082,-2.9624,-2.5372,-2.7838,-2.147,3.2354,4.4787,0.7224,39.2226,0.0054,0.0054,-0.6569,-2.5372,-2.7838,0
PFE,STOCK,23.92482,22.362631,-6.5296,BUY,0,0.5271,0.4544,0.321,0.767,1.0904,1.3158,-0.7874,4.2497,1.5351,9.579,0.1603,34.1463,0.0102,0.0102,0.165,1.3158,-0.7874,3
